folder,doi,publisher,crossref_license,unpaywall_license,oa_status,classification,reason
10.7717_peerj.15993,10.7717/peerj.15993,PeerJ,CC-BY-NC,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7717_PEERJ-CS.343,10.7717/PEERJ-CS.343,PeerJ,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7717_peerj.11199,10.7717/peerj.11199,PeerJ,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7717_peerj.12,10.7717/peerj.12,PeerJ,none,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7717_peerj.13182,10.7717/peerj.13182,PeerJ,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7717_peerj.5043,10.7717/peerj.5043,PeerJ,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7717_peerj.6576,10.7717/peerj.6576,PeerJ,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7717_peerj.7959,10.7717/peerj.7959,PeerJ,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7717_peerj.17726,10.7717/peerj.17726,PeerJ,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7717_peerj.11360,10.7717/peerj.11360,PeerJ,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7717_peerj-cs.1309,10.7717/peerj-cs.1309,PeerJ,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7717_peerj-cs.1712,10.7717/peerj-cs.1712,PeerJ,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7717_peerj.5833,10.7717/peerj.5833,PeerJ,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7717_peerj.4722,10.7717/peerj.4722,PeerJ,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7717_peerj.17782,10.7717/peerj.17782,PeerJ,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7717_peerj.11983,10.7717/peerj.11983,PeerJ,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7717_peerj-cs.1705,10.7717/peerj-cs.1705,PeerJ,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7717_peerj-cs.463,10.7717/peerj-cs.463,PeerJ,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7717_peerj.3588,10.7717/peerj.3588,PeerJ,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7717_peerj.10468,10.7717/peerj.10468,PeerJ,CC-BY-NC,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7717_peerj.5143,10.7717/peerj.5143,PeerJ,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7717_peerj.15779,10.7717/peerj.15779,PeerJ,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7717_peerj.4347,10.7717/peerj.4347,PeerJ,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7717_peerj.14980,10.7717/peerj.14980,PeerJ,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7717_peerj-cs.2248,10.7717/peerj-cs.2248,PeerJ,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7717_peerj.8892,10.7717/peerj.8892,PeerJ,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7717_peerj.12898,10.7717/peerj.12898,PeerJ,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7717_peerj.18277,10.7717/peerj.18277,PeerJ,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7717_peerj.1468,10.7717/peerj.1468,PeerJ,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7717_peerj.2396,10.7717/peerj.2396,PeerJ,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7717_peerj.9968,10.7717/peerj.9968,PeerJ,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7717_peerj.12947,10.7717/peerj.12947,PeerJ,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7717_peerj.275,10.7717/peerj.275,PeerJ,none,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7717_peerj.16309,10.7717/peerj.16309,PeerJ,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7717_peerj.3724,10.7717/peerj.3724,PeerJ,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7717_peerj.470,10.7717/peerj.470,PeerJ,none,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7717_peerj.11158,10.7717/peerj.11158,PeerJ,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7717_peerj.3350,10.7717/peerj.3350,PeerJ,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7717_peerj.13411,10.7717/peerj.13411,PeerJ,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7717_peerj.4984,10.7717/peerj.4984,PeerJ,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7717_peerj.9681,10.7717/peerj.9681,PeerJ,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7717_peerj.2322,10.7717/peerj.2322,PeerJ,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7717_peerj.6311,10.7717/peerj.6311,PeerJ,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7717_peerj.7514,10.7717/peerj.7514,PeerJ,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7717_peerj.7973,10.7717/peerj.7973,PeerJ,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7717_peerj-cs.2411,10.7717/peerj-cs.2411,PeerJ,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7717_peerj.6430,10.7717/peerj.6430,PeerJ,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7717_peerj.19507,10.7717/peerj.19507,PeerJ,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7717_peerj.11696,10.7717/peerj.11696,PeerJ,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7717_peerj.2698,10.7717/peerj.2698,PeerJ,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7717_peerj.5041,10.7717/peerj.5041,PeerJ,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7717_peerj.10105,10.7717/peerj.10105,PeerJ,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
